1.1. Continue to implement the Toronto Green Standard sustainable design requirements for new developments and require net zero ready private buildings by 2030 or sooner.,1.2. Require net zero emissions for construction of City-owned buildings.,1.3. Support building owners to use low-carbon materials for new construction.,1.4. Set requirements to report on and limit greenhouse gas emissions from homes and buildings.,"1.5. Support early action to make retrofits that improve efficiency, comfort and the switch off fossil fuel heating easier and more affordable for home and building owners.",1.6. Support the creation of jobs in the building sector and build industry capacity to enable rapid market transformation to scale up zero emission retrofits for existing buildings.,2. Why did you choose these actions as highest priority?,"3. Which of these actions do you think might be the most challenging for you, your household and/or your community if implemented (if any)?",4.1. Produce renewable natural gas from waste.,4.2. Increase installation of rooftop and ground mount solar panels.,4.3. Support district energy system owners and developers with the implementation of low-carbon energy solutions.,4.4. Accelerate investment in energy storage.,4.5. Work with other levels of government to ensure low-carbon and resilient energy policies to enable local solutions.,5. Why did you choose these actions as highest priority?,"6. Which of these actions do you think might be the most challenging for you, your household and/or your community if implemented (if any)?",7.1. Increase uptake of electric vehicles through incentives.,7.2. Increase electric vehicle charging in public spaces and on private property.,7.3. Expand usage of and support for low-emissions freight and last mile delivery strategies to move goods.,7.4. Expand bike and pedestrian infrastructure and priority zones.,7.5. Expand public transit and accelerate implementation of bus rapid transit.,7.6. Continue electrification of the TTC fleet.,8. Why did you choose these actions as highest priority?,"9. Which of these actions do you think might be the most challenging for you, your household and/or your community if implemented (if any)?",10.1. Conduct a city-wide consumption-based emissions inventory and set a reduction target.,"10.2. Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).","10.3. Continue outreach and engagement on city-wide waste reduction and diversion, with a focus on food and organic waste.",11. Why did you choose these actions as highest priority?,"12. Which of these actions do you think might be the most challenging for you, your household and/or your community if implemented (if any)?","13.1. Increase tree canopy cover, biodiversity and enhance greenspaces.","13.2. Achieve equitable distribution of the urban forest, increasing tree canopy where it is most needed.",13.3. Corporate-wide adoption of a climate lens for all new City operating programs and capital projects to incorporate climate considerations in the municipal decision-making process.,13.4. Focus outreach on equity-seeking groups to lead and implement local climate action.,13.5. Work with Indigenous communities to share knowledge.,13.6. Focus on youth engagement and leadership.,13.7. Establish a Climate Advisory Group.,14. Why did you choose these actions as highest priority?,"15. Which of these actions do you think might be the most challenging for you, your household and/or your community if implemented (if any)?","16. What do you think is needed to support and encourage uptake of these net zero climate actions in your community?Examples may include: education, outreach, incentives, funding, enforcement, infrastructure, regulation, communications, etc.View the TransformTO Net Zero Strategy and Climate Actions Backgrounder",17. What is your age?,18. Please provide the first 3 digits of your postal code (e.g. M5H),18. Please provide the first 3 digits of your postal code (e.g. M5H) - other,19. What is your ethnic or cultural background?,19. What is your ethnic or cultural background? - other,"20.1. Arab, Middle Eastern or West Asian (examples: Afghan, Armenian, Iranian, Lebanese, Persian, Turkish)","20.2. Black (examples: African, African-Canadian, Afro-Caribbean)","20.3. East Asian (examples: Chinese, Japanese, Korean)","20.4. First Nations (status, non-status, treaty or non-treaty), Inuit or Métis","20.5. Latin American (examples: Brazilian, Colombian, Cuban, Mexican, Peruvian)","20.6. South Asian or Indo-Caribbean (examples: Indian, Indo- Guyanese, Indo-Trinidadian, Pakistani, Sri Lankan)","20.7. Southeast Asian (examples: Filipino, Malaysian, Singaporean, Thai, Vietnamese)","20.8. White (examples: English, Greek, Italian, Portuguese, Russian, Slovakian)","20.9. Not listed, please describe:","21. Gender identity is the gender that people identify with or how they perceive themselves, which may be different from their birth-assigned sex.What best describes your gender?","21. Gender identity is the gender that people identify with or how they perceive themselves, which may be different from their birth-assigned sex.What best describes your gender? - other",22. What best describes your current housing situation?Please select&nbsp;one&nbsp;only.,22. What best describes your current housing situation?Please select&nbsp;one&nbsp;only. - other,23. What was your total household income before taxes last year? Your best estimate is fine.
Continue to implement the Toronto Green Standard sustainable design requirements for new developments and require net zero ready private buildings by 2030 or sooner.,,,Set requirements to report on and limit greenhouse gas emissions from homes and buildings.,"Support early action to make retrofits that improve efficiency, comfort and the switch off fossil fuel heating easier and more affordable for home and building owners.",,Home and building retrofits are the biggest contribution to emissions.,cost of retrofits is a lot. and I don't know what i would need to do in my apartment to make it net zero,,Increase installation of rooftop and ground mount solar panels.,,Accelerate investment in energy storage.,Work with other levels of government to ensure low-carbon and resilient energy policies to enable local solutions.,the province needs to get rid of natural gas and local renewable energy needs to be everywhere in the city!,cost,Increase uptake of electric vehicles through incentives.,,,,Expand public transit and accelerate implementation of bus rapid transit.,Continue electrification of the TTC fleet.,we need all of these!,,Conduct a city-wide consumption-based emissions inventory and set a reduction target.,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).",,,,,,Corporate-wide adoption of a climate lens for all new City operating programs and capital projects to incorporate climate considerations in the municipal decision-making process.,Focus outreach on equity-seeking groups to lead and implement local climate action.,Work with Indigenous communities to share knowledge.,,Establish a Climate Advisory Group.,,,,30-54,3 digits of your postal code:,m6k,Ethnic or cultural backgound:,,,,,,,,,"White (examples: English, Greek, Italian, Portuguese, Russian, Slovakian)",,Woman,,Renting,,"$70,000 - $99,999"
Continue to implement the Toronto Green Standard sustainable design requirements for new developments and require net zero ready private buildings by 2030 or sooner.,,,,,,,,Produce renewable natural gas from waste.,,,,,,,,,,,,Continue electrification of the TTC fleet.,,,Conduct a city-wide consumption-based emissions inventory and set a reduction target.,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Set requirements to report on and limit greenhouse gas emissions from homes and buildings.,"Support early action to make retrofits that improve efficiency, comfort and the switch off fossil fuel heating easier and more affordable for home and building owners.",Support the creation of jobs in the building sector and build industry capacity to enable rapid market transformation to scale up zero emission retrofits for existing buildings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continue to implement the Toronto Green Standard sustainable design requirements for new developments and require net zero ready private buildings by 2030 or sooner.,Require net zero emissions for construction of City-owned buildings.,Support building owners to use low-carbon materials for new construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Require net zero emissions for construction of City-owned buildings.,Support building owners to use low-carbon materials for new construction.,,,Support the creation of jobs in the building sector and build industry capacity to enable rapid market transformation to scale up zero emission retrofits for existing buildings.,"Requiring zero net emissions for City-Owned buildings sets a good example for private builders. Supporting these builders with low-carbon materials gives them more incentive to reach the set target, and the creation of jobs in that sector will eventually lead to a change in its market.","Zero Net emissions for City-Owned buildings may be the most challenging target for this community. This would mean that the outdated schools, government offices, and Recreation Centre would all have to rethink their energy usage.",Produce renewable natural gas from waste.,Increase installation of rooftop and ground mount solar panels.,,Accelerate investment in energy storage.,,"Putting what we already have to work is the best idea, and should be of highest priority. This is why producing renewable energy from all the waste produced by apartment and industrial buildings would be a great idea. Solar energy production is also very helpful, and there should be a program encouraging all capable buildings in Toronto to implement solar panels on their rooftops.","The hardest would be implementing solar panels on the roof of the building I live in. I have seen how long the process takes on a similar apartment building close to me, and noise disturbance doesn't help either.",Increase uptake of electric vehicles through incentives.,Increase electric vehicle charging in public spaces and on private property.,,,,Continue electrification of the TTC fleet.,"I chose the electric vehicle options as highest priority because of their contributions to Toronto's net-zero emissions goals. Providing incentive on electric vehicles, building charging stations, and electrifying the TTC fleet are all great ideas.",None of these actions would be challenging for this community.,,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).",,Reducing material consumption across the city is the quickest way to see results. This can be promoted by increasing the re-usage of goods.,Re-using goods is a habit we all need to get used to if the zero-net emissions goal is to be met on time.,"Increase tree canopy cover, biodiversity and enhance greenspaces.","Achieve equitable distribution of the urban forest, increasing tree canopy where it is most needed.",,,,,Establish a Climate Advisory Group.,Establishing an Advisory Group that oversees the possible actions taken to increase Toronto's greenery should be the first step in this process.,"These actions wouldn't be challenging, there are already many new ongoing 'Green Projects' where I live, and they haven't disturbed the community at all.","Education campaigns that teach the public the value of these Green Actions is needed for Torontonians to understand the city's reaction to the ongoing climate crisis. These campaigns should focus on encouraging residents to contribute to the cause through small action in their daily lives, such as biking instead of driving when possible.",19-Oct,3 digits of your postal code:,M1H,Prefer not to answer.,,,,,,,"South Asian or Indo-Caribbean (examples: Indian, Indo- Guyanese, Indo-Trinidadian, Pakistani, Sri Lankan)",,,,Man,,Permanently living with parent(s) or other family member(s),,Don't know
,Require net zero emissions for construction of City-owned buildings.,,Set requirements to report on and limit greenhouse gas emissions from homes and buildings.,"Support early action to make retrofits that improve efficiency, comfort and the switch off fossil fuel heating easier and more affordable for home and building owners.",,,,Produce renewable natural gas from waste.,Increase installation of rooftop and ground mount solar panels.,,,Work with other levels of government to ensure low-carbon and resilient energy policies to enable local solutions.,,,,Increase electric vehicle charging in public spaces and on private property.,,Expand bike and pedestrian infrastructure and priority zones.,Expand public transit and accelerate implementation of bus rapid transit.,,,,,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).","Continue outreach and engagement on city-wide waste reduction and diversion, with a focus on food and organic waste.",,,"Increase tree canopy cover, biodiversity and enhance greenspaces.",,,Focus outreach on equity-seeking groups to lead and implement local climate action.,Work with Indigenous communities to share knowledge.,Focus on youth engagement and leadership.,,,,"Keep educating people about climate change and what we can do to fight it. Start in Kindergarten all the way up to high school, an own subject should be introduced into schools just like Geography or History. Workshops can be held in retirement homes or other organizations to inform as many people as possible and get everyone to act out of their own interest. With planned outreach actions people can gather at busy intersections to spread information and helpful but easy ways to fight climate change and get to net zero emission. By introducing our ideas to big companies or smaller businesses, we can try to earn sponsorships to build a good fund which can be used to enforce and advertise all the actions we have in mind.",20-24,"No fixed address, don't know, or prefer not to answer",,Prefer not to answer.,,,,,,,,,"White (examples: English, Greek, Italian, Portuguese, Russian, Slovakian)",,Woman,,Permanently living with parent(s) or other family member(s),,Don't know
Continue to implement the Toronto Green Standard sustainable design requirements for new developments and require net zero ready private buildings by 2030 or sooner.,,,Set requirements to report on and limit greenhouse gas emissions from homes and buildings.,,Support the creation of jobs in the building sector and build industry capacity to enable rapid market transformation to scale up zero emission retrofits for existing buildings.,,,,,Support district energy system owners and developers with the implementation of low-carbon energy solutions.,Accelerate investment in energy storage.,Work with other levels of government to ensure low-carbon and resilient energy policies to enable local solutions.,,,Increase uptake of electric vehicles through incentives.,,,Expand bike and pedestrian infrastructure and priority zones.,Expand public transit and accelerate implementation of bus rapid transit.,,,,Conduct a city-wide consumption-based emissions inventory and set a reduction target.,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).",,,,"Increase tree canopy cover, biodiversity and enhance greenspaces.","Achieve equitable distribution of the urban forest, increasing tree canopy where it is most needed.",Corporate-wide adoption of a climate lens for all new City operating programs and capital projects to incorporate climate considerations in the municipal decision-making process.,Focus outreach on equity-seeking groups to lead and implement local climate action.,,,,,,,25-29,3 digits of your postal code:,M5V,Ethnic or cultural backgound:,Filipino,,,,,,,"Southeast Asian (examples: Filipino, Malaysian, Singaporean, Thai, Vietnamese)",,,Man,,Home owner,,"$150,000 or more"
Continue to implement the Toronto Green Standard sustainable design requirements for new developments and require net zero ready private buildings by 2030 or sooner.,Require net zero emissions for construction of City-owned buildings.,,,"Support early action to make retrofits that improve efficiency, comfort and the switch off fossil fuel heating easier and more affordable for home and building owners.",,,,,Increase installation of rooftop and ground mount solar panels.,Support district energy system owners and developers with the implementation of low-carbon energy solutions.,Accelerate investment in energy storage.,,,,,Increase electric vehicle charging in public spaces and on private property.,,Expand bike and pedestrian infrastructure and priority zones.,Expand public transit and accelerate implementation of bus rapid transit.,,,,,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).",,,,"Increase tree canopy cover, biodiversity and enhance greenspaces.","Achieve equitable distribution of the urban forest, increasing tree canopy where it is most needed.",Corporate-wide adoption of a climate lens for all new City operating programs and capital projects to incorporate climate considerations in the municipal decision-making process.,,,,,,,,30-54,3 digits of your postal code:,m6r,Ethnic or cultural backgound:,Ashkenazi Jewish,,,,,,,,,,Woman,,Renting,,"$70,000 - $99,999"
Continue to implement the Toronto Green Standard sustainable design requirements for new developments and require net zero ready private buildings by 2030 or sooner.,,Support building owners to use low-carbon materials for new construction.,,"Support early action to make retrofits that improve efficiency, comfort and the switch off fossil fuel heating easier and more affordable for home and building owners.",,Retrofits and low carbon materials are the largest opportunities to reduce emissions. TGS drives change to entire market. I would also select net zero city-owned buildings as a 4th option.,retrofits are costly and complicated. this needs the most support.,Produce renewable natural gas from waste.,,Support district energy system owners and developers with the implementation of low-carbon energy solutions.,,Work with other levels of government to ensure low-carbon and resilient energy policies to enable local solutions.,thermal energy / gas is main source of emissions in buildings in Toronto so it should be the priority over solar. District energy systems are highly efficient and resilient to floods. Work to decarbonize the central energy source of the DE system is possible and more efficient than decarbonizing all the individual buildings.,district energy is challenging. Requires bit up front cost for infrastructure. Work with Canada Infrastructure Bank to unlock funds.,Increase uptake of electric vehicles through incentives.,,,Expand bike and pedestrian infrastructure and priority zones.,Expand public transit and accelerate implementation of bus rapid transit.,,private EVs are biggest opportunity. Support purchase of them and the charging infrastructure will follow. Toronto needs much more pedestrian and bike-only infrastructure. Keep cars out of certain areas.,pedestrian infrastructure and car-free zones get alot of push back from suburban councillors. We need to stand up to them and be brave and bold.,Conduct a city-wide consumption-based emissions inventory and set a reduction target.,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).",,concrete and steel are MASSIVE sources of emissions that aren't included in production-based emissions inventories. They would be the biggest source of emission sin a consumption-based inventory. need to be prioritized for reductions.,,"Increase tree canopy cover, biodiversity and enhance greenspaces.",,Corporate-wide adoption of a climate lens for all new City operating programs and capital projects to incorporate climate considerations in the municipal decision-making process.,,,,Establish a Climate Advisory Group.,Trees are critical and bring so many co-benefits. Climate Lens needs to be used in all major city decisions and an Advisory Group can help prioritize and maintain action.,,depoliticize them. don't want suburban councillors cancelling these programs.,30-54,3 digits of your postal code:,M5A,Ethnic or cultural backgound:,White / European discent,,,,,,,,"White (examples: English, Greek, Italian, Portuguese, Russian, Slovakian)",,Man,,Home owner,,"$150,000 or more"
,Require net zero emissions for construction of City-owned buildings.,,Set requirements to report on and limit greenhouse gas emissions from homes and buildings.,"Support early action to make retrofits that improve efficiency, comfort and the switch off fossil fuel heating easier and more affordable for home and building owners.",,"In line with other leading cities, including Vancouver.","Amending the building code will be hard, and private building owners will not want to spend money to do retrofits.",,Increase installation of rooftop and ground mount solar panels.,Support district energy system owners and developers with the implementation of low-carbon energy solutions.,Accelerate investment in energy storage.,,"Again, in line with climate leaders",Anything with a cost attached will be a challenge.,Increase uptake of electric vehicles through incentives.,,Expand usage of and support for low-emissions freight and last mile delivery strategies to move goods.,,Expand public transit and accelerate implementation of bus rapid transit.,,,,Conduct a city-wide consumption-based emissions inventory and set a reduction target.,"Reduce city-wide material consumption and increase circularity (i.e., efficient re-use and recovery of resources).",,,,,,Corporate-wide adoption of a climate lens for all new City operating programs and capital projects to incorporate climate considerations in the municipal decision-making process.,Focus outreach on equity-seeking groups to lead and implement local climate action.,Work with Indigenous communities to share knowledge.,,,Because climate and racial justice cannot be separated,,"A big, bold commitment, a robust marketing & communications campaign and Mayor Tory as the #1 ambassador",30-54,3 digits of your postal code:,M4V,Ethnic or cultural backgound:,Canadian,,,,,,,,"White (examples: English, Greek, Italian, Portuguese, Russian, Slovakian)",,Woman,,Renting,,"$70,000 - $99,999"
